gender_stress;Run;Denounce;Females;Got attacked;Stress
0.1;0;87;1257;232;0.029365915727614617
0.1;1;68;1199;202;0.029691791803580652
0.1;2;60;1218;189;0.028402976994037977
0.1;3;73;1211;177;0.03027607183565323
0.1;4;84;1218;235;0.029607067455398647
0.1;5;82;1196;233;0.029788004605386643
0.1;6;79;1193;219;0.03083108020322011
0.1;7;78;1233;228;0.03133600298790613
0.1;8;56;1246;172;0.02927247432847948
0.1;9;64;1186;197;0.029282305209901063
0.1;10;75;1146;232;0.030067502042484928
0.1;11;74;1217;192;0.03091663959913269
0.1;12;66;1239;209;0.03081582308940053
0.1;13;62;1241;204;0.029679303943618906
0.1;14;76;1240;216;0.030094461741098727
0.1;15;85;1215;197;0.02917078321245373
0.1;16;77;1241;213;0.029398120277521516
0.1;17;77;1236;218;0.029977575389150145
0.1;18;77;1251;207;0.03022995211563785
0.1;19;83;1195;220;0.030670580520999552
0.1;20;71;1221;230;0.02998970085489735
0.1;21;77;1224;198;0.029470002197913275
0.1;22;73;1214;208;0.030730856710323703
0.1;23;84;1212;221;0.030081449338358195
0.1;24;70;1175;222;0.028698407715011618
0.1;25;64;1167;199;0.030205195716687044
0.1;26;67;1230;199;0.030175399365886924
0.1;27;73;1182;189;0.02868366801094625
0.1;28;69;1212;217;0.03070662071343028
0.1;29;78;1205;234;0.030754487777542687
0.1;30;71;1180;221;0.03005210732200793
0.1;31;63;1189;188;0.03049827417333295
0.1;32;68;1215;203;0.03101658494972294
0.1;33;63;1216;200;0.030113550279151042
0.1;34;63;1195;209;0.029957714685941723
0.1;35;75;1227;230;0.029113015903121944
0.1;36;71;1234;200;0.030305860420741196
0.1;37;80;1237;195;0.02991758312798874
0.1;38;58;1203;173;0.03042300102168735
0.1;39;64;1172;231;0.028959159859183084
0.1;40;80;1186;204;0.028915195058640476
0.1;41;71;1216;222;0.02960956630697243
0.1;42;74;1214;227;0.030038612676783132
0.1;43;73;1220;210;0.030170791504282483
0.1;44;77;1233;224;0.030807566811748396
0.1;45;67;1199;226;0.028831077360941215
0.1;46;68;1190;204;0.029911088393251756
0.1;47;68;1224;208;0.029823288399844
0.1;48;78;1236;211;0.03019861831759426
0.1;49;68;1221;211;0.029104035114420588
0.1;50;70;1218;197;0.03090429262832593
0.1;51;76;1226;205;0.02918415865356198
0.1;52;69;1201;201;0.02843665402065668
0.1;53;70;1197;191;0.02928702960767868
0.1;54;65;1162;186;0.02994632075879678
0.1;55;89;1221;235;0.02908413977385447
0.1;56;61;1214;176;0.030215588675585596
0.1;57;67;1201;193;0.030082145738756116
0.1;58;77;1218;207;0.02953520456539246
0.1;59;71;1284;205;0.028645674073272814
0.1;60;59;1187;165;0.029736553165382772
0.1;61;81;1226;213;0.029879279235484914
0.1;62;75;1262;231;0.029918858645726482
0.1;63;75;1238;182;0.030146063199760383
0.1;64;76;1203;221;0.029034299496840027
0.1;65;69;1215;194;0.02895429727134729
0.1;66;63;1243;178;0.028941517970421368
0.1;67;89;1247;230;0.030796962812911173
0.1;68;76;1197;207;0.030053040251224367
0.1;69;64;1214;190;0.029954483266327193
0.1;70;78;1223;205;0.029105536729815067
0.1;71;76;1207;228;0.02915843987680321
0.1;72;72;1215;190;0.030050537078115138
0.1;73;80;1193;215;0.02970674678584458
0.1;74;59;1207;178;0.029709784815444784
0.1;75;73;1222;204;0.03050806858505903
0.1;76;68;1226;197;0.030170990787791084
0.1;77;75;1255;188;0.03041801334159149
0.1;78;71;1241;206;0.02937405124563935
0.1;79;60;1196;198;0.030533711290091567
0.1;80;81;1253;194;0.029231380615082094
0.1;81;74;1262;218;0.02985707429088736
0.1;82;76;1259;205;0.029172287974390178
0.1;83;76;1207;213;0.030642557805013147
0.1;84;79;1251;208;0.02906433929484819
0.1;85;61;1236;189;0.030792688736237982
0.1;86;60;1255;190;0.030127178979426624
0.1;87;61;1210;193;0.029414382289244458
0.1;88;79;1259;219;0.030303211947705973
0.1;89;73;1223;201;0.029939266990466996
0.1;90;77;1211;220;0.02940451027021522
0.1;91;83;1174;231;0.03010517554089715
0.1;92;69;1134;195;0.029446822192897414
0.1;93;60;1230;202;0.028586270543487016
0.1;94;73;1209;209;0.02951177843927838
0.1;95;84;1189;244;0.029502256619921716
0.1;96;75;1199;211;0.029129209165163508
0.1;97;57;1237;173;0.03002662591534498
0.1;98;73;1229;186;0.03061989167421499
0.1;99;75;1222;211;0.03073916399090362
0.1;100;59;1220;179;0.02919844616507263
0.1;101;75;1189;211;0.029663023453629332
0.1;102;68;1186;222;0.030533556992692265
0.1;103;75;1238;187;0.02933981848923384
0.1;104;69;1227;213;0.02985999313892313
0.1;105;72;1212;200;0.029566943308441465
0.1;106;74;1225;211;0.029709665832466023
0.1;107;75;1203;209;0.030071073780901368
0.1;108;66;1248;202;0.029079694695743286
0.1;109;78;1211;207;0.029657675925711113
0.1;110;92;1178;220;0.03002205338520102
0.1;111;81;1204;219;0.030240034176112558
0.1;112;78;1198;192;0.028839311062100505
0.1;113;57;1226;176;0.029374433184444104
0.1;114;62;1228;196;0.030336164047328654
0.1;115;80;1249;215;0.028623268519579175
0.1;116;71;1214;209;0.030171557560949427
0.1;117;74;1247;227;0.030012261188916155
0.1;118;68;1199;224;0.02998645898751322
0.1;119;72;1208;209;0.028288036282620478
0.1;120;76;1204;195;0.030415416001544335
0.1;121;77;1278;211;0.030094348928417114
0.1;122;82;1224;227;0.0302100278581346
0.1;123;76;1215;219;0.029159199410012476
0.1;124;71;1227;199;0.029744010663948765
0.1;125;58;1188;156;0.029616086342814662
0.1;126;56;1200;177;0.029947927185117757
0.1;127;72;1203;207;0.02951142898544427
0.1;128;81;1217;204;0.02814017581027474
0.1;129;63;1180;197;0.03094697481246587
0.1;130;84;1219;217;0.02944140201333471
0.1;131;88;1222;226;0.03041901863939636
0.1;132;77;1160;180;0.029595738904124952
0.1;133;73;1239;204;0.030172323183624505
0.1;134;72;1211;196;0.028648614501561104
0.1;135;73;1191;197;0.03002748620059272
0.1;136;76;1212;208;0.029604792972479328
0.1;137;83;1263;225;0.030565769260387336
0.1;138;82;1223;207;0.03070894402414932
0.1;139;92;1218;232;0.029752455257826233
0.1;140;71;1203;194;0.029538436479769357
0.1;141;75;1210;210;0.0287917912923203
0.1;142;85;1212;209;0.03026181046673922
0.1;143;79;1211;218;0.029317891250281582
0.1;144;75;1190;203;0.030925974847677996
0.1;145;77;1206;207;0.030342475384114335
0.1;146;77;1256;210;0.03000592236425421
0.1;147;64;1194;186;0.02921491706702174
0.1;148;75;1287;239;0.03022777596968209
0.1;149;65;1225;195;0.030320685858553752
0.1;150;77;1278;230;0.029491686564741878
0.1;151;70;1190;204;0.03021729209433568
0.1;152;77;1237;215;0.03005908554382748
0.1;153;78;1276;207;0.029365558073788822
0.1;154;84;1204;226;0.029876848082540434
0.1;155;71;1224;218;0.02971703324116901
0.1;156;66;1198;185;0.0286496998392913
0.1;157;78;1217;194;0.030070647965424246
0.1;158;66;1162;197;0.02955371904970777
0.1;159;83;1207;218;0.02959522900097141
0.1;160;93;1191;214;0.030676828897867943
0.1;161;67;1200;197;0.030047892725246342
0.1;162;77;1232;216;0.029546335273619117
0.1;163;66;1234;211;0.029699765614803288
0.1;164;82;1203;184;0.02974476288840768
0.1;165;65;1254;185;0.030092363556374273
0.1;166;72;1205;209;0.030943600739842734
0.1;167;73;1218;209;0.030300130345557445
0.1;168;72;1226;178;0.03017435731763384
0.1;169;82;1200;225;0.030046829938962606
0.1;170;69;1187;190;0.029784930917300924
0.1;171;63;1194;189;0.03046508841610088
0.1;172;83;1240;217;0.029277753105485853
0.1;173;82;1231;234;0.03051984638775561
0.1;174;71;1241;201;0.029237311912811634
0.1;175;71;1255;211;0.029559394741453218
0.1;176;57;1239;181;0.029933683741374933
0.1;177;85;1259;224;0.03034090748973035
0.1;178;64;1281;199;0.030608380349420095
0.1;179;67;1234;199;0.02954895291927811
0.1;180;73;1214;208;0.030019342818023573
0.1;181;75;1224;224;0.029623881958724518
0.1;182;68;1167;193;0.02998766575594942
0.1;183;70;1259;200;0.02985168091097311
0.1;184;69;1206;194;0.030548646671931013
0.1;185;70;1220;215;0.029091534164387072
0.1;186;73;1194;212;0.02905059186618582
0.1;187;101;1254;251;0.029696107350063755
0.1;188;78;1240;208;0.029461908619665102
0.1;189;75;1253;214;0.02998092086854421
0.1;190;72;1206;200;0.029484468526329858
0.1;191;75;1220;205;0.02989891773523682
0.1;192;81;1278;229;0.028516686022730123
0.1;193;83;1244;244;0.028937708119656545
0.1;194;83;1212;220;0.029644857584660934
0.1;195;55;1190;165;0.0289365767163218
0.1;196;83;1176;210;0.029287414255512907
0.1;197;74;1234;201;0.02984359748427211
0.1;198;78;1210;210;0.028985825903527242
0.1;199;67;1223;207;0.03031599704978635
0.2142857142857143;200;64;1202;199;0.029624369963167974
0.2142857142857143;201;74;1189;216;0.030496041960178168
0.2142857142857143;202;61;1223;182;0.02963303225635671
0.2142857142857143;203;83;1192;222;0.03154595810523497
0.2142857142857143;204;83;1203;229;0.030623512422431175
0.2142857142857143;205;66;1250;191;0.029393422020476394
0.2142857142857143;206;83;1173;210;0.03025495705806799
0.2142857142857143;207;66;1249;202;0.030142575149512928
0.2142857142857143;208;80;1267;211;0.030298237706210034
0.2142857142857143;209;86;1244;210;0.029673474155973167
0.2142857142857143;210;73;1222;205;0.0303919212723422
0.2142857142857143;211;74;1223;188;0.03044289230178266
0.2142857142857143;212;81;1223;200;0.03000482595103893
0.2142857142857143;213;75;1200;228;0.0300105389398555
0.2142857142857143;214;85;1238;214;0.029190382600366813
0.2142857142857143;215;63;1206;184;0.030446585298780485
0.2142857142857143;216;67;1228;192;0.031012553449473495
0.2142857142857143;217;84;1197;205;0.030657276943910093
0.2142857142857143;218;74;1257;219;0.03105829737928794
0.2142857142857143;219;77;1205;195;0.02975360896279408
0.2142857142857143;220;79;1221;211;0.029188529118149033
0.2142857142857143;221;96;1219;265;0.030627418228796343
0.2142857142857143;222;86;1202;232;0.029826718278871844
0.2142857142857143;223;67;1209;197;0.029583602741443792
0.2142857142857143;224;64;1179;164;0.02989112977480501
0.2142857142857143;225;71;1237;188;0.02926832884668773
0.2142857142857143;226;73;1211;220;0.03004264340035837
0.2142857142857143;227;68;1185;211;0.030160675075717173
0.2142857142857143;228;58;1188;192;0.029385601401020412
0.2142857142857143;229;84;1165;241;0.028805566166174523
0.2142857142857143;230;87;1193;213;0.029744073603336474
0.2142857142857143;231;68;1158;207;0.029301407964924153
0.2142857142857143;232;72;1212;207;0.029270579970781675
0.2142857142857143;233;71;1204;212;0.030248567253605436
0.2142857142857143;234;71;1282;195;0.02994662079041586
0.2142857142857143;235;66;1225;182;0.030040282277689043
0.2142857142857143;236;73;1196;202;0.02979962136117376
0.2142857142857143;237;75;1164;206;0.029498151735439352
0.2142857142857143;238;62;1194;208;0.02893059841163136
0.2142857142857143;239;91;1253;227;0.02944262887178215
0.2142857142857143;240;67;1241;211;0.030694840032179815
0.2142857142857143;241;94;1222;221;0.02908835263563307
0.2142857142857143;242;69;1191;205;0.030028971132833007
0.2142857142857143;243;73;1236;230;0.029064539997502633
0.2142857142857143;244;85;1200;235;0.02981765147582738
0.2142857142857143;245;75;1190;212;0.030063947623210487
0.2142857142857143;246;75;1183;235;0.029871826945047354
0.2142857142857143;247;74;1221;205;0.029470954814695707
0.2142857142857143;248;73;1192;220;0.029999997843984022
0.2142857142857143;249;62;1183;209;0.029625803238647892
0.2142857142857143;250;82;1177;200;0.03077494534132244
0.2142857142857143;251;64;1199;216;0.029927216966978625
0.2142857142857143;252;80;1225;181;0.029839106906279153
0.2142857142857143;253;74;1232;212;0.031480109576915404
0.2142857142857143;254;84;1202;231;0.029607409435409005
0.2142857142857143;255;63;1216;218;0.030134904034703335
0.2142857142857143;256;73;1259;202;0.028343716584231602
0.2142857142857143;257;73;1216;214;0.02944639663661556
0.2142857142857143;258;72;1228;201;0.029344614005097195
0.2142857142857143;259;67;1208;185;0.03102699009517521
0.2142857142857143;260;75;1180;197;0.029721097245669827
0.2142857142857143;261;69;1201;207;0.029010610600919244
0.2142857142857143;262;79;1223;193;0.029142877510890574
0.2142857142857143;263;82;1237;202;0.028834789182062413
0.2142857142857143;264;74;1196;200;0.029902414688374183
0.2142857142857143;265;75;1236;198;0.029805078881680682
0.2142857142857143;266;86;1247;205;0.0293459122929262
0.2142857142857143;267;73;1209;197;0.029560134695486382
0.2142857142857143;268;69;1222;192;0.028625745998068018
0.2142857142857143;269;75;1217;222;0.030361992391089256
0.2142857142857143;270;72;1205;216;0.029056069208756877
0.2142857142857143;271;80;1190;232;0.03017955975060806
0.2142857142857143;272;72;1216;173;0.02892450701920595
0.2142857142857143;273;75;1217;208;0.029651673279088624
0.2142857142857143;274;81;1236;200;0.030044221437512307
0.2142857142857143;275;70;1287;217;0.029662281388683338
0.2142857142857143;276;83;1243;216;0.0308034397067851
0.2142857142857143;277;58;1162;179;0.029923833124402152
0.2142857142857143;278;79;1190;208;0.029843618636721244
0.2142857142857143;279;68;1195;197;0.03013223943676411
0.2142857142857143;280;78;1251;201;0.02924998946314265
0.2142857142857143;281;64;1198;205;0.029512291097610915
0.2142857142857143;282;72;1208;184;0.02978325837180239
0.2142857142857143;283;70;1227;204;0.0297510450025036
0.2142857142857143;284;83;1175;221;0.02996664702772906
0.2142857142857143;285;69;1260;217;0.029974817122257635
0.2142857142857143;286;66;1275;191;0.02958491567420751
0.2142857142857143;287;60;1221;172;0.030825119301947583
0.2142857142857143;288;74;1210;183;0.02988094089097576
0.2142857142857143;289;79;1184;225;0.030463594091280945
0.2142857142857143;290;69;1216;201;0.029803852471905458
0.2142857142857143;291;83;1178;202;0.02982085890046675
0.2142857142857143;292;84;1213;213;0.028932736889510792
0.2142857142857143;293;64;1208;196;0.030366301648822782
0.2142857142857143;294;64;1229;202;0.0299696109705882
0.2142857142857143;295;80;1209;181;0.029883674120504772
0.2142857142857143;296;66;1202;187;0.029346618061923044
0.2142857142857143;297;75;1330;230;0.029434394355245027
0.2142857142857143;298;75;1221;226;0.030147018345047075
0.2142857142857143;299;75;1211;188;0.028525412638263598
0.2142857142857143;300;87;1191;215;0.031070134264518445
0.2142857142857143;301;79;1179;189;0.029969555532095897
0.2142857142857143;302;85;1241;226;0.029963378405780974
0.2142857142857143;303;68;1245;206;0.02974136739630131
0.2142857142857143;304;74;1226;253;0.03243292095049826
0.2142857142857143;305;78;1156;216;0.02987112939009716
0.2142857142857143;306;68;1216;199;0.029983746983814327
0.2142857142857143;307;77;1230;213;0.030355595720609967
0.2142857142857143;308;76;1272;196;0.02952112528184083
0.2142857142857143;309;60;1269;186;0.030456594328588237
0.2142857142857143;310;84;1212;237;0.029269300228876426
0.2142857142857143;311;86;1186;224;0.029712107365089665
0.2142857142857143;312;71;1277;204;0.02815730371707202
0.2142857142857143;313;59;1194;160;0.030916004687220815
0.2142857142857143;314;67;1211;187;0.029000891074715516
0.2142857142857143;315;70;1241;204;0.029839937141453318
0.2142857142857143;316;70;1181;216;0.029359881895106747
0.2142857142857143;317;76;1263;234;0.0292571595103736
0.2142857142857143;318;79;1217;212;0.030404400090382602
0.2142857142857143;319;65;1250;201;0.030174675584827927
0.2142857142857143;320;85;1242;238;0.029451411322348645
0.2142857142857143;321;100;1189;236;0.029816588069288403
0.2142857142857143;322;61;1201;197;0.02959312952239173
0.2142857142857143;323;78;1241;232;0.03043304351707461
0.2142857142857143;324;84;1195;206;0.029738768826673846
0.2142857142857143;325;77;1211;208;0.029835472492851102
0.2142857142857143;326;83;1203;201;0.029565942906298822
0.2142857142857143;327;68;1242;201;0.03042992836734585
0.2142857142857143;328;78;1177;200;0.029919534203739377
0.2142857142857143;329;71;1251;213;0.030179247887262367
0.2142857142857143;330;69;1184;188;0.030132824725027308
0.2142857142857143;331;66;1207;191;0.029847665343840823
0.2142857142857143;332;84;1201;216;0.03073538935213508
0.2142857142857143;333;79;1205;229;0.02927608042056697
0.2142857142857143;334;62;1209;188;0.030308446984910805
0.2142857142857143;335;83;1252;214;0.029298540043681404
0.2142857142857143;336;79;1191;210;0.029907495680966564
0.2142857142857143;337;62;1216;198;0.03062288159827417
0.2142857142857143;338;74;1207;201;0.02970168490230079
0.2142857142857143;339;82;1188;226;0.030278155445934096
0.2142857142857143;340;77;1268;212;0.03053528350715366
0.2142857142857143;341;72;1225;193;0.029265465260418913
0.2142857142857143;342;76;1215;221;0.029501172541283937
0.2142857142857143;343;84;1192;190;0.02961625040130905
0.2142857142857143;344;80;1203;199;0.02918665256484909
0.2142857142857143;345;70;1230;223;0.02986354635719515
0.2142857142857143;346;74;1185;183;0.029931264673085475
0.2142857142857143;347;72;1224;186;0.029868644749927703
0.2142857142857143;348;62;1190;191;0.029220907798557315
0.2142857142857143;349;77;1243;238;0.030621063277049883
0.2142857142857143;350;62;1190;201;0.02961178022228036
0.2142857142857143;351;80;1262;227;0.031016775744309003
0.2142857142857143;352;71;1214;208;0.02943552979148563
0.2142857142857143;353;73;1216;210;0.02968942396524505
0.2142857142857143;354;81;1205;213;0.029710994044151263
0.2142857142857143;355;80;1234;197;0.02938080409673565
0.2142857142857143;356;66;1234;187;0.028872736884431992
0.2142857142857143;357;63;1251;208;0.029198683033816127
0.2142857142857143;358;73;1256;218;0.029080454793158246
0.2142857142857143;359;81;1173;203;0.03064119750825681
0.2142857142857143;360;87;1217;204;0.02936057071619292
0.2142857142857143;361;65;1262;218;0.0299734112974606
0.2142857142857143;362;81;1228;243;0.029912620201139273
0.2142857142857143;363;73;1181;201;0.030452571694262208
0.2142857142857143;364;83;1214;207;0.029636617443945315
0.2142857142857143;365;76;1195;209;0.0311058224193163
0.2142857142857143;366;63;1216;189;0.029021265609098255
0.2142857142857143;367;81;1188;210;0.029291449308608296
0.2142857142857143;368;76;1212;200;0.030143708580560816
0.2142857142857143;369;72;1211;181;0.030319450411702337
0.2142857142857143;370;79;1225;207;0.029087792510233135
0.2142857142857143;371;85;1142;205;0.029580024647763457
0.2142857142857143;372;80;1199;194;0.029135430606707362
0.2142857142857143;373;82;1230;186;0.029226256064030925
0.2142857142857143;374;70;1227;197;0.030821297298711692
0.2142857142857143;375;83;1215;204;0.028827982164515955
0.2142857142857143;376;100;1231;221;0.02941847648638099
0.2142857142857143;377;75;1241;208;0.028833232082773406
0.2142857142857143;378;82;1224;219;0.03108449462845219
0.2142857142857143;379;78;1189;194;0.029198157344232943
0.2142857142857143;380;75;1230;204;0.028814170319438094
0.2142857142857143;381;90;1280;221;0.029584368974812456
0.2142857142857143;382;81;1240;204;0.029922264742201582
0.2142857142857143;383;80;1253;220;0.029241565383625462
0.2142857142857143;384;77;1210;224;0.029911637855951075
0.2142857142857143;385;60;1211;195;0.030909571922125772
0.2142857142857143;386;55;1199;176;0.028866365728653406
0.2142857142857143;387;75;1283;208;0.029388941340748726
0.2142857142857143;388;77;1215;230;0.03050064604105911
0.2142857142857143;389;66;1221;203;0.02949964469545802
0.2142857142857143;390;85;1192;209;0.030212628125083536
0.2142857142857143;391;82;1200;225;0.030439803433101167
0.2142857142857143;392;72;1236;195;0.029307021746060365
0.2142857142857143;393;70;1177;216;0.030234120853434774
0.2142857142857143;394;93;1242;233;0.02916988579830409
0.2142857142857143;395;67;1238;192;0.029843909071240095
0.2142857142857143;396;92;1224;227;0.030226616922629526
0.2142857142857143;397;70;1238;190;0.029094118418537866
0.2142857142857143;398;74;1206;224;0.029950143742122445
0.2142857142857143;399;71;1269;214;0.031202333223347364
0.3285714285714286;400;66;1222;206;0.030383913987777032
0.3285714285714286;401;67;1255;177;0.030148443689871334
0.3285714285714286;402;84;1219;228;0.030623484957855673
0.3285714285714286;403;82;1176;185;0.030623343469642208
0.3285714285714286;404;69;1178;212;0.030482823009800198
0.3285714285714286;405;70;1260;225;0.02986050405111462
0.3285714285714286;406;68;1203;185;0.029909840857844327
0.3285714285714286;407;87;1210;213;0.02896600372916369
0.3285714285714286;408;73;1202;210;0.029885107756387714
0.3285714285714286;409;90;1220;233;0.029660564521582406
0.3285714285714286;410;69;1159;214;0.02922397265870939
0.3285714285714286;411;79;1215;180;0.02990034282055078
0.3285714285714286;412;70;1239;203;0.028438684188700505
0.3285714285714286;413;61;1253;211;0.029187114681439395
0.3285714285714286;414;75;1192;208;0.030260272767422876
0.3285714285714286;415;77;1212;213;0.03024728986865286
0.3285714285714286;416;71;1201;199;0.029591904672940105
0.3285714285714286;417;80;1224;230;0.030672863204021638
0.3285714285714286;418;77;1232;227;0.02926950947925808
0.3285714285714286;419;58;1184;181;0.0307938366582321
0.3285714285714286;420;69;1188;192;0.030307212272257508
0.3285714285714286;421;81;1199;219;0.03006720720748662
0.3285714285714286;422;82;1276;221;0.030514027289389428
0.3285714285714286;423;73;1221;206;0.030805795365336258
0.3285714285714286;424;72;1233;221;0.02918226938707732
0.3285714285714286;425;84;1187;209;0.03103251823257868
0.3285714285714286;426;74;1244;198;0.028924862806866715
0.3285714285714286;427;79;1230;206;0.029919992386756245
0.3285714285714286;428;74;1179;180;0.029636165689812533
0.3285714285714286;429;86;1243;218;0.030334541403325744
0.3285714285714286;430;82;1232;240;0.03003396836628674
