quarantine;Run;Denounce;Females;Got attacked;Stress
False;0;75;1200;216;0.028894877716292587
False;1;75;1235;219;0.03077665842661537
False;2;77;1189;206;0.029572190122978417
False;3;82;1250;230;0.030413736307122574
False;4;89;1255;227;0.02984468101401242
False;5;75;1208;215;0.030648111563399135
False;6;65;1206;199;0.030465802220768175
False;7;66;1223;180;0.02979566324032849
False;8;79;1189;203;0.030319378500549245
False;9;78;1261;226;0.02959474271041909
False;10;74;1245;224;0.02977066523683396
False;11;79;1221;205;0.030400490624010887
False;12;71;1208;202;0.029164388227742886
False;13;90;1232;216;0.029983179682519883
False;14;86;1163;220;0.030083765339449047
False;15;66;1253;220;0.030854371145255143
False;16;77;1198;196;0.030454938006165083
False;17;76;1239;229;0.0317917728076913
False;18;81;1194;206;0.030114233239050846
False;19;71;1160;197;0.030528312757077496
False;20;62;1221;194;0.029029199057966446
False;21;92;1196;216;0.029765953405299292
False;22;81;1239;221;0.02997952288129727
False;23;91;1221;253;0.029496998984468
False;24;71;1148;203;0.030505104115414638
False;25;68;1244;187;0.029460169992479527
False;26;65;1205;224;0.029917984482445325
False;27;80;1216;245;0.03126284516574712
False;28;88;1215;245;0.030753966456764127
False;29;77;1185;214;0.029681393138363772
False;30;83;1212;213;0.03070435291226391
False;31;78;1221;219;0.03100833316405314
False;32;94;1175;236;0.031099481049999617
False;33;81;1207;203;0.029099643495194102
False;34;70;1238;213;0.030668700588124934
False;35;72;1216;213;0.03033543353527732
False;36;73;1301;202;0.030093259337013626
False;37;66;1200;205;0.02984605138930825
False;38;67;1220;193;0.02995031921619942
False;39;57;1254;198;0.030815709487548852
False;40;74;1257;218;0.03105167873618302
False;41;84;1233;232;0.030004192744026707
False;42;80;1221;227;0.030117007419684934
False;43;82;1208;197;0.02947355365470299
False;44;74;1251;226;0.02961731564121268
False;45;58;1241;195;0.029887203053165876
False;46;86;1191;237;0.030555916355855306
False;47;66;1186;215;0.03025399312998192
False;48;78;1273;209;0.030153951023668312
False;49;62;1252;198;0.029532414838991272
False;50;76;1236;209;0.029270029789130843
False;51;73;1201;189;0.030515521801202934
False;52;64;1237;196;0.030466972532704348
False;53;64;1187;189;0.030318571958518642
False;54;85;1210;241;0.030519402796731984
False;55;70;1299;214;0.03084524970121927
False;56;62;1202;207;0.029837131301245826
False;57;80;1246;218;0.030477810064413857
False;58;87;1221;219;0.0305645165631583
False;59;75;1210;209;0.029532071879971814
False;60;68;1272;200;0.031242666496752912
False;61;85;1227;203;0.029182113572380722
False;62;84;1244;228;0.02986037353842728
False;63;79;1225;214;0.030629270437134013
False;64;83;1249;222;0.02924631501022001
False;65;73;1221;192;0.03008637510162914
False;66;72;1157;205;0.029554900771383705
False;67;71;1180;229;0.029824859608306113
False;68;68;1156;202;0.029961052571063126
False;69;75;1205;209;0.029492146992563625
False;70;74;1200;194;0.029667123997157298
False;71;79;1212;202;0.030195589729508684
False;72;78;1242;238;0.030428755673541478
False;73;71;1239;199;0.029210874001645848
False;74;65;1212;195;0.029506246675365135
False;75;75;1215;201;0.0302613682845463
False;76;75;1245;218;0.030746897180242073
False;77;80;1184;219;0.03124361365377415
False;78;70;1209;191;0.03005934063229865
False;79;80;1210;197;0.030816792178751287
False;80;59;1235;186;0.030101995689683896
False;81;78;1193;224;0.030890232516514543
False;82;77;1185;215;0.02972553009514583
False;83;80;1270;231;0.030894342578070926
False;84;64;1229;212;0.030158088813999808
False;85;96;1267;238;0.0312570959310217
False;86;71;1262;187;0.031135272565856943
False;87;92;1242;238;0.03167653226842552
False;88;77;1192;199;0.02972270703650193
False;89;72;1165;210;0.030692156387185376
False;90;68;1145;221;0.029722529964924135
False;91;97;1229;224;0.03009956153425454
False;92;75;1177;220;0.02945650392136693
False;93;74;1231;208;0.030790651066849407
False;94;90;1217;250;0.030434854461127873
False;95;85;1217;231;0.02991777117066953
False;96;76;1235;198;0.030051107682007087
False;97;77;1249;211;0.02997608317919658
False;98;78;1232;236;0.03059215798976602
False;99;81;1243;243;0.029491296526504833
False;100;85;1228;226;0.030344165912128494
False;101;86;1198;223;0.028949822330360947
False;102;68;1127;210;0.03045908597918974
False;103;73;1194;195;0.02983407612968019
False;104;79;1206;203;0.03120953281093457
False;105;74;1190;200;0.03136373167457242
False;106;86;1147;203;0.029750811391675253
False;107;72;1239;199;0.02957293289390144
False;108;80;1248;201;0.02990105670895719
False;109;87;1197;224;0.030207263282031632
False;110;64;1217;208;0.030212228742403806
False;111;72;1215;210;0.030200380653205457
False;112;81;1215;226;0.030107921232945423
False;113;63;1224;204;0.029667742365669755
False;114;50;1216;190;0.029509423135213864
False;115;74;1204;220;0.030526692114172766
False;116;66;1270;227;0.030593636302584732
False;117;66;1175;197;0.029841735767232282
False;118;72;1225;203;0.030282272231933593
False;119;68;1290;195;0.029095470459768104
False;120;63;1226;207;0.029822810970066747
False;121;57;1231;185;0.029803148115109555
False;122;70;1158;222;0.030244988766034573
False;123;58;1225;191;0.03132348696774948
False;124;76;1212;198;0.030228889953658734
False;125;81;1257;227;0.03036778692410495
False;126;81;1244;232;0.02919520400509433
False;127;84;1190;222;0.030672528661375747
False;128;80;1261;225;0.030112426353908334
False;129;71;1189;201;0.030098645677145805
False;130;77;1206;235;0.02899786653908632
False;131;91;1231;235;0.030245641853333873
False;132;74;1227;210;0.029852344787790884
False;133;66;1223;204;0.029484035733041807
False;134;72;1216;212;0.02951940303111687
False;135;77;1218;232;0.029868534040173294
False;136;63;1246;189;0.031114333453380934
False;137;82;1194;225;0.030156517650330616
False;138;74;1265;204;0.02916474459934264
False;139;68;1199;225;0.03019830164272538
False;140;71;1181;199;0.029972841312979115
False;141;79;1237;215;0.03067341185254353
False;142;75;1206;225;0.02959903449305998
False;143;80;1200;212;0.029719902889016787
False;144;51;1231;196;0.030036053035591842
False;145;85;1253;224;0.03072234469204412
False;146;89;1212;221;0.03014739806966159
False;147;78;1249;229;0.03107164718978915
False;148;70;1199;196;0.030641357362706383
False;149;67;1269;204;0.03003120332385492
False;150;67;1198;189;0.029945556035366777
False;151;82;1256;238;0.02993025823647419
False;152;66;1218;204;0.029872921283711266
False;153;80;1200;189;0.02992719607164167
False;154;62;1220;199;0.030212757888319376
False;155;71;1290;183;0.030958481718424764
False;156;71;1239;202;0.031398106716144285
False;157;67;1254;194;0.030589276146794013
False;158;102;1258;240;0.030592985709188104
False;159;66;1208;201;0.031073641933466532
False;160;68;1216;205;0.030169298855294766
False;161;83;1234;225;0.029837082836543287
False;162;73;1263;208;0.030196918175150186
False;163;76;1196;216;0.03074574176308052
False;164;74;1252;203;0.030163629770112034
False;165;86;1222;207;0.029754432282947003
False;166;78;1228;218;0.03018164422960052
False;167;77;1220;204;0.029608367993872554
False;168;77;1213;236;0.030236944363609835
False;169;90;1244;216;0.028577354531370055
False;170;77;1243;218;0.029820102234991864
False;171;71;1195;200;0.030715661856935698
False;172;73;1265;221;0.02953845198854798
False;173;79;1227;215;0.030102266592259307
False;174;74;1273;231;0.03007589244459317
False;175;72;1197;211;0.029464653974976735
False;176;86;1186;219;0.03058522529507872
False;177;77;1166;208;0.03036631277637681
False;178;71;1206;182;0.03025162653748009
False;179;80;1194;186;0.029799097114984432
False;180;85;1237;207;0.02908505045383518
False;181;66;1187;212;0.030042762346936893
False;182;75;1236;201;0.0305569339642793
False;183;71;1225;216;0.030250163328984465
False;184;82;1205;212;0.029712388672194983
False;185;77;1239;250;0.030375188226384527
False;186;87;1240;213;0.03024775480293459
False;187;86;1216;201;0.029936659328893996
False;188;69;1212;210;0.03020666369803341
False;189;74;1235;188;0.02996554157032845
False;190;69;1203;193;0.029365171708860886
False;191;74;1201;221;0.030953360404930675
False;192;79;1242;226;0.029227217432252626
False;193;79;1235;218;0.029562118188090045
False;194;77;1183;231;0.030127428683556542
False;195;71;1233;211;0.02910583861141525
False;196;73;1228;227;0.030559188563587084
False;197;66;1266;226;0.030403204780223788
False;198;82;1225;209;0.029948964747925588
False;199;83;1205;214;0.030881270751824355
True;200;58;1235;253;0.033139930765871184
True;201;59;1236;214;0.033895519631060696
True;202;65;1238;262;0.03365185885615946
True;203;56;1302;227;0.032806664579517884
True;204;71;1205;261;0.03309703665476725
True;205;41;1202;217;0.03329291351137506
True;206;48;1230;232;0.03241616315107115
True;207;51;1214;208;0.03292691784515328
True;208;61;1254;212;0.03334067832098945
True;209;53;1227;274;0.03304515281883714
True;210;64;1185;233;0.032575739975466735
True;211;54;1214;242;0.03237502921409586
True;212;55;1160;218;0.03310124745311279
True;213;49;1189;225;0.03220903612317879
True;214;72;1222;246;0.033323944353794016
True;215;58;1196;224;0.03264018643500287
True;216;52;1237;205;0.032551915927353674
True;217;47;1207;219;0.03263450372652792
True;218;47;1190;231;0.033467897184370855
True;219;64;1245;250;0.032686329782066204
True;220;66;1252;242;0.03317403313116305
True;221;59;1215;221;0.03338780357137368
True;222;55;1228;238;0.032966662889172035
True;223;59;1235;211;0.03293547756672615
True;224;52;1227;214;0.03212681964703522
True;225;74;1195;280;0.0343814560185661
True;226;46;1217;197;0.03342974606233943
True;227;47;1217;228;0.03364792097050346
True;228;55;1205;225;0.03356756726156793
True;229;68;1242;246;0.0338455044001955
True;230;62;1223;244;0.03249571892421824
True;231;63;1233;212;0.0335908029669769
True;232;72;1227;261;0.03350303070862791
True;233;51;1235;232;0.031488345674638644
True;234;69;1227;253;0.03208413054510981
True;235;63;1253;244;0.033333798583815605
True;236;41;1199;206;0.032495929305714155
True;237;63;1215;228;0.033185396463293736
True;238;63;1206;262;0.032318070368559056
True;239;60;1199;226;0.032212359493121866
True;240;64;1191;217;0.03448215666805045
True;241;52;1215;233;0.032558701177993976
True;242;40;1163;207;0.03155693684461915
True;243;67;1237;253;0.03322576924115252
True;244;46;1208;224;0.03280331059932311
True;245;58;1195;238;0.03244144751626289
True;246;65;1241;244;0.03338649054663912
True;247;42;1198;216;0.03288303588573618
True;248;56;1220;241;0.03263797424837849
True;249;60;1203;216;0.03307571951456751
True;250;51;1198;241;0.03261433061238048
True;251;55;1213;209;0.032895700889349254
True;252;52;1283;229;0.03349791893715568
True;253;67;1236;238;0.03240757175987643
True;254;52;1151;209;0.03398575150632281
True;255;77;1283;252;0.03275398331504954
True;256;67;1170;235;0.033101584989757134
True;257;45;1191;218;0.03278330744340185
True;258;57;1203;217;0.033296533671823135
True;259;64;1234;242;0.03264980868635925
True;260;47;1232;204;0.032283133448227315
True;261;64;1206;232;0.031501319008385174
True;262;48;1279;243;0.03272296903958944
True;263;67;1231;227;0.03262460766030153
True;264;62;1239;231;0.03330830965828902
True;265;48;1208;197;0.032926837689433316
True;266;57;1223;220;0.03312412680218354
True;267;65;1270;250;0.03278752893937989
True;268;75;1253;259;0.03399241553163091
True;269;59;1284;241;0.0325677927071424
True;270;61;1217;219;0.0332359422789151
True;271;52;1207;229;0.032206009516592686
True;272;54;1271;226;0.032691758526166445
True;273;60;1243;217;0.03275757885362098
True;274;61;1195;234;0.03296466398641874
True;275;51;1221;224;0.032982452612176104
True;276;60;1237;245;0.03283581433600682
True;277;47;1225;219;0.0332127279144114
True;278;59;1176;233;0.032969866406274195
True;279;65;1244;237;0.03256937070792691
True;280;48;1225;230;0.03226024617181754
True;281;60;1192;239;0.033812754244570295
True;282;59;1246;252;0.034062360155970785
True;283;50;1220;218;0.033452353855780714
True;284;46;1201;216;0.03323111295159998
True;285;64;1204;265;0.03263809247345041
True;286;56;1255;222;0.033158074418888274
True;287;56;1210;238;0.03251926914977406
True;288;64;1192;214;0.03297381958218059
True;289;67;1197;236;0.03292372581252093
True;290;56;1262;215;0.032285450405720756
True;291;52;1211;221;0.03292431711048516
True;292;69;1222;241;0.032751358907320276
True;293;61;1231;243;0.0323981601291159
True;294;61;1250;257;0.03369812331727915
True;295;48;1167;225;0.033805447929583426
True;296;53;1191;225;0.032918921030781735
True;297;65;1231;228;0.03226305626913356
True;298;67;1243;237;0.03279355677624652
True;299;57;1185;266;0.033848850599916755
True;300;55;1216;222;0.03395288191840244
True;301;57;1234;235;0.03277260058046425
True;302;54;1183;223;0.03278945964679607
True;303;61;1184;229;0.03266312924486071
True;304;70;1196;266;0.03311061460787622
True;305;66;1238;246;0.032641226299849876
True;306;52;1242;232;0.03247473025212589
True;307;64;1257;223;0.03257597413360967
True;308;54;1205;231;0.032140035467496456
True;309;62;1205;223;0.03388698228448464
True;310;55;1188;225;0.03277388433286836
True;311;55;1207;221;0.03356949734244338
True;312;50;1197;209;0.0338840117921442
True;313;57;1217;227;0.032899772673167516
True;314;53;1195;242;0.032936712331849624
True;315;52;1209;212;0.033256324765935145
True;316;55;1219;207;0.03364795222577703
True;317;58;1255;238;0.03361787014664772
True;318;61;1205;235;0.03190638685210352
True;319;58;1179;229;0.03279770745115468
True;320;56;1189;226;0.032304823939464836
True;321;53;1228;226;0.031831637306440695
True;322;66;1223;225;0.03283640675405836
True;323;61;1241;223;0.03154709971128499
True;324;61;1240;242;0.033415946258032896
True;325;72;1207;257;0.0347911854161528
True;326;54;1224;268;0.03266703943698326
True;327;50;1211;228;0.03283754017598082
True;328;64;1184;228;0.033081865698124234
True;329;57;1192;223;0.032718420150167245
True;330;62;1200;236;0.032411257624285185
True;331;52;1185;216;0.0332665407913458
True;332;69;1234;248;0.032976422839131984
True;333;58;1231;263;0.03210331595263925
True;334;54;1192;212;0.03274690412741364
True;335;60;1212;246;0.03292038921630048
True;336;64;1256;267;0.03364337138055267
True;337;54;1231;232;0.03289789389290285
True;338;58;1201;217;0.03183614185739953
True;339;57;1189;270;0.033584441026472886
True;340;70;1198;232;0.033744266435677545
True;341;67;1296;235;0.03378766257068389
True;342;54;1211;185;0.03313687276520846
True;343;54;1238;228;0.03241745514777802
True;344;66;1259;244;0.03380174212938242
True;345;58;1276;240;0.0326524942198341
True;346;41;1218;221;0.03284594748911754
True;347;71;1279;257;0.03316703061303427
True;348;67;1205;231;0.03235176967079609
True;349;60;1208;254;0.033120921657252445
True;350;57;1152;225;0.032513364406355764
True;351;54;1207;212;0.03266801648377612
True;352;50;1209;211;0.032878513292567364
True;353;55;1206;228;0.03311952781317439
True;354;54;1226;240;0.03369911682723145
True;355;58;1255;230;0.031860557053702866
True;356;60;1250;217;0.033984077855181836
True;357;50;1144;224;0.032923603529847675
True;358;55;1240;240;0.03360454584670804
True;359;54;1240;228;0.03266373323460472
True;360;67;1207;260;0.03255463093434473
True;361;41;1199;192;0.033232132540973285
True;362;61;1206;243;0.0327713503411021
True;363;61;1205;240;0.031719778240223796
True;364;60;1175;267;0.03313133508837159
True;365;70;1197;230;0.034226703892891064
True;366;57;1235;238;0.03196239137708113
True;367;64;1227;223;0.03289553683102682
True;368;51;1223;242;0.0336274364996219
True;369;65;1220;248;0.032522412858120284
True;370;64;1251;259;0.03304456766264571
True;371;56;1288;218;0.03300849382578957
True;372;53;1247;194;0.03289015003641801
True;373;55;1188;248;0.03244454869369413
True;374;61;1260;207;0.0325952824275949
True;375;62;1205;245;0.0331322131335704
True;376;60;1222;235;0.033026301229413094
True;377;42;1176;185;0.032612361830915156
True;378;67;1215;241;0.03161830257409977
True;379;51;1244;230;0.032606804243412536
True;380;67;1229;242;0.03203314659630585
True;381;59;1161;217;0.03316770822646741
True;382;68;1264;245;0.03199556414620065
True;383;73;1176;255;0.032595954590139316
True;384;69;1196;245;0.031807028537303
True;385;50;1251;254;0.03253478939431653
True;386;49;1217;239;0.03353132633338748
True;387;64;1197;226;0.03393078461907944
True;388;68;1253;243;0.03332947391173153
True;389;52;1213;249;0.032228468644803415
True;390;64;1254;221;0.031730625540766756
True;391;66;1195;260;0.03220618504383192
True;392;67;1220;243;0.03189454136358315
True;393;65;1200;240;0.03316744083116449
True;394;60;1224;244;0.033415610241644834
True;395;58;1237;216;0.03237064078484546
True;396;60;1234;257;0.033155991432960115
True;397;64;1213;288;0.032790629741882765
True;398;66;1251;210;0.03309288449519336
True;399;51;1231;214;0.03296631347801391
